company_name;location;logo;title;Category;description;requirement;updated_at;contract_type;url
GL FINANCE;Siem Reap;https://media.everjobs.com.kh/storage//company/51/151/image//gl-finance.png;Loan Recovery Officer (S.Reap);Accounting / Finance ;- Perform field collection activity according to senior/supervisor instructions.<br/>- To facilitate collection activity, building a relationship with local authority.<br/>- Provide a practical/effective solution for the collection activity, and share/report to senior/supervisor.<br/>- Monitor the responsible overdue customers closely and report it to senior/supervisor if needed or requested.<br/>- Do other tasks or over time required by supervisor/manager if needed.<br/>- Basic salary + incentive (0-$300) * average incentive is $150 at present.;- Good communication in English language (Speaking, Writing and Listening).<br/>- Be honest, team work, and good communication skill.<br/>- Computer knowledge (Ms. Word, Excel, PowerPoint, Access, Internet & Email.;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/gl-finance/loan-recovery-officer-p-veng.html
GL FINANCE;Preah Vihear;https://media.everjobs.com.kh/storage//company/51/151/image//gl-finance.png;Loan Recovery Officer (Preah Vihear);Accounting / Finance ;- Perform field collection activity according to senior/supervisor instructions.<br/>- To facilitate collection activity, building a relationship with local authority.<br/>- Provide a practical/effective solution for the collection activity, and share/report to senior/supervisor.<br/>- Monitor the responsible overdue customers closely and report it to senior/supervisor if needed or requested.<br/>- Do other tasks or over time required by supervisor/manager if needed.<br/>- Basic salary + incentive (0-$300) * average incentive is $150 at present.;- Good communication in English language (Speaking, Writing and Listening).<br/>- Be honest, team work, and good communication skill.<br/>- Computer knowledge (Ms. Word, Excel, PowerPoint, Access, Internet & Email.;04 July 2016;;https://www.everjobs.com.kh/en/employer/gl-finance/loan-recovery-officer-preah-vihear-4.html
GL FINANCE;Cambodia;https://media.everjobs.com.kh/storage//company/51/151/image//gl-finance.png;Loan Recovery Officer (Oddor Meanchey);Accounting / Finance ;- Perform field collection activity according to senior/supervisor instructions.<br/>- To facilitate collection activity, building a relationship with local authority.<br/>- Provide a practical/effective solution for the collection activity, and share/report to senior/supervisor.<br/>- Monitor the responsible overdue customers closely and report it to senior/supervisor if needed or requested.<br/>- Do other tasks or over time required by supervisor/manager if needed.<br/>- Basic salary + incentive (0-$300) * average incentive is $150 at present.;- Good communication in English language (Speaking, Writing and Listening).<br/>- Be honest, team work, and good communication skill.<br/>- Computer knowledge (Ms. Word, Excel, PowerPoint, Access, Internet & Email.;04 July 2016;;https://www.everjobs.com.kh/en/employer/gl-finance/loan-recovery-officer-oddor-meanchey-1.html
First Solutions ( Cambodia) Co., Ltd;Phnom Penh;https://media.everjobs.com.kh/storage//company/44/3044/image//fs-logo.png;Accounting Manager ( $ 1000-$1200 ) at Tang Pech Constrution.;Accounting / Finance ;Mainly is to assist the Finance Manager to carry out the work such as:<br/>General Work<br/>• Manages, Review and reconciliation account regularly.<br/>• Check completeness all accounting transactions.<br/>• Liaise with tax offers, internal and external auditors.<br/>• Perform other duties assigned by Head Of Department or Financial Controller<br/><br/>Month End Closing<br/>• Prepare monthly financial reports such as balance sheet, profit and loss and trail balance for management with a very tight deadline.<br/>• Prepare monthly manufacturing and production account for reporting purpose.<br/>• Prepare other management reports such as Schedule of Account, Journal Voucher.<br/>• Send monthly reports to KL Head Office.;- Female / Male<br/>- Experience in Accounting & Tax at least 4 years up<br/>- Degree in Accounting & Finance filed , ACCA , CPA<br/>- Experience in Big 4 is a plus<br/>- Good command of English is a must;02 July 2016;Full time;https://www.everjobs.com.kh/en/employer/first-solutions-cambodia-co-ltd/accounting-manager-1000-1200-at-tang-pech-constrution.html
Y CHHE Construction Material;Phnom Penh;https://media.everjobs.com.kh/storage//company/83/83/image//y-chhe-group.png;Accounting Supervisor (Urgent);Accounting / Finance ;- Manage and oversee the daily operations of the accounting department<br/>- Accomplishes accounting human resource objectives by recruiting, selecting and orienting<br/>- Manage and training assigning, scheduling, coaching, counseling, and disciplining<br/>- Process month and end year, accounts payable/receivable, cash receipts, general ledger<br/>- Monitor and analyze accounting data and produce financial reports or statements<br/>- Establish and enforce proper accounting methods, policies and principles<br/>- Coordinate and complete annual audits<br/>- Provide recommendations<br/>- Improve systems and procedures and initiate corrective actions<br/>- Assign projects and direct staff to ensure compliance and accuracy;- Bacholor or Master degree in Accountancy<br/>- At least 3 years of working experience in accounting<br/>- Experience in construction industry preferably<br/>- Provent working experience as Accounting Supervisor<br/>- Good command of both writing and speaking in Khmer and English<br/>- computer skills on MS Office, accounting software and databases<br/>- High attention to detail and accuracy<br/>- Ability to direct and supervise;01 July 2016;;https://www.everjobs.com.kh/en/employer/y-chhe-construction-material/accounting-supervisor-urgent-4.html
SAMIC PLC;Kampot;https://media.everjobs.com.kh/storage//company/84/284/image//samic-plc.jpg;មន្រី្តឥណទាន (Kampot);Accounting / Finance ;- ចុះបំពេញការងារតាមសហគមគោលដៅ និងមានសមត្ថភាពធ្វើការប៉ាន់ប្រមាណក្រុមគ្រួសារមុននឹងសម្រេចផ្តល់ប្រាក់កម្ចី។<br/>- មានសមត្ថភាពស្វែងរក និងគ្រប់គ្រងអតិថិជនបានល្អ។<br/>- មានប្រាស្រ័យទាក់ទងល្អ និងផ្សព្វផ្សាយផលិតផលរបស់ សាមិក។<br/>- មានសមត្ថភាពអាចរៀបចំឯកសារប្រាក់កម្ចីជាមួយក្រុមការងារ ប្រធានក្រុមមន្ត្រីឥណទាន/ប្រធានសាខាស្រុក។<br/>- អាចរៀបចំឯកសារប្រាក់កម្ចី និងមានសមត្ថភាពទម្លាក់ប្រាក់កម្ចីឲ្យអតិថិជន។<br/>- ចេះរៀបចំផែនការការងារ និងរៀបចំផែនការប្រមូលប្រាក់កម្ចីពីអតិថិជន។<br/>- មានប្រាស្រ័យទាក់ទងល្អជាមួយអាជ្ញាធរមូលដ្ឋាន ក្រុមគ្រួសារ ដើម្បីពង្រីកចំនួនអតិថិជនឲ្យបានចំនួនច្រើន។<br/>- ចេះលើកទឹកចិត្ត និង បង្កើនសមាជិកភាពឲ្យកាន់តែច្រើន តាមរយៈការទំនាក់ទំនងល្អ<br/>- ជាមួយអតិថិជន ដើម្បីបង្កើនភាពស្មោះត្រង់ និង ភាពជឿរជាក់។<br/>- ទទួលការងារពាក់ព័ន្ធដែលបានចាត់តាំងដោយប្រធានសាខាស្រុក។;- និស្សិតកំពុងបន្តការសិក្សាថ្នាក់មហាវិទ្យាល័យ ឬ ទើបបានបញ្ចប់/ បរិញ្ញាបត្ររង ឬ សញ្ញាបត្រដែលមានតម្លៃស្មើ។<br/>- មានបទពិសោធន៍ពាក់ព័ន្ធនឹង ការងារកាន់តែប្រសើរ។<br/>- ចេះនិយាយ និង ប្រើប្រាស់ភាសាអង់គ្លេសបានកាន់តែល្អ។<br/>- មានចរិតស្លូតបូត សុភាពរាបសា និងមានការទំនាក់ទំនងល្អជាមួយមនុស្សទូទៅ។<br/>- ខិតខំធើ្វការងារ និងចេះលើកទឹកចិត្តខ្លួនឯង។<br/>- មានឆន្ទៈខ្ពស់ក្នុងការទទួលយកការងារថ្មីៗ<br/>- តស៊ូព្យាយាមក្នុងការងារ និងមានភាពស្មោះត្រង់។;01 July 2016;Full time;https://www.everjobs.com.kh/en/employer/samic-plc/kampot-36.html
Beauty Silk Screen Limited;Phnom Penh;https://media.everjobs.com.kh/storage//company/95/695/image//bsslcambodia.jpg;Accounts Officer/ Executive;Accounting / Finance ;- Handle full-set account.<br/>- Preparation of monthly management accounts, budget & forecast and management report.<br/>- Monitoring of debtors & creditors account.<br/>- Handle daily accounting function and monthly closing activities including preparation & processing month end journals.<br/>- Prepare month end reconciliation, accounts receivable, accounts payable & journal entries.<br/>- Liaise with internal/external auditors and tax agent.<br/>- Assist in compiling information required for reporting to local authorities, banker & other interested parties.<br/>- Approves cash disbursements by verifying payment voucher and invoices<br/>- Participate in job scope of costing, purchasing & inventory control.<br/>- Participate in ad hoc projects assigned by the company;- ACCA students or graduates & having working experience at garment factory are preferable.<br/>- Must be above 22 years old.<br/><br/>- Remark:<br/>- We are a garment printing factory located at Veng Sreng Street.<br/>- Only shortlisted candidates will be notified.<br/>- Candidates must carry original certificates, latest three-month pay slips, testimonial/ contract from previous worked companies, identity card & other relevant document plus one set of duplicate copy of each of the set of the document stated here during the interview.;01 July 2016;Full time;https://www.everjobs.com.kh/en/employer/beauty-silk-screen-limited/accounts-officer-executive.html
Beauty Silk Screen Limited;Phnom Penh;https://media.everjobs.com.kh/storage//company/95/695/image//bsslcambodia.jpg;Accounts clerk;Accounting / Finance ;- Issue the payment voucher and petty cash voucher.<br/>- Issue sales invoice, debit &amp, credit note and official receipt.<br/>- Posting all entry to UBS Accounting system.<br/>- Prepare monthly tax declaration.<br/>- Prepare the job relate to accounts.<br/>- Participate in ad-hoc projects assigned by the company;- Qualification<br/>- Accounts graduates &amp, having working experience at garment factory arepreferable.<br/>- Fresh graduates are welcome to apply.<br/><br/>- Remark:<br/>- We are a garment printing factory located at Veng Sreng Street.<br/>- Only shortlisted candidates will be notified.<br/>- Candidates must carry original certificates, latest three-month pay slips,testimonial/ contract from previous worked companies, identity card &amp, other relevant document plus one set of duplicate copy of each of the set of the document stated here during the interview.;01 July 2016;Full time;https://www.everjobs.com.kh/en/employer/beauty-silk-screen-limited/accounts-clerk.html
Desjoyaux Cambodia Co,. Ltd;Phnom Penh;https://media.everjobs.com.kh/storage//company/36/936/image//dy.jpg;បុគ្គលិកផ្នែកកាន់ឃ្លាំង (urgent);Accounting / Finance ;- បុគ្គលិកផ្នែកកាន់ឃ្លាំង;- គ្រប់គ្រងស្តុកចេញ ស្តុកចូល ដែលត្រូវមានកំណត់ត្រា និង របាយការណ៍ លក់ជាក់ស្តែងជារៀងរាល់ថ្ងៃ និង រាយការជូនប្រធានផ្នែកលក់.<br/>- ត្រូវជួយទិញសំភារៈដាក់ការដ្ឋាន<br/>- ពេលទំនេរពីការរាប់ស្តុកត្រូវទៅជួយការងារអ្នកការដ្ឋាន;03 July 2016;Full time;https://www.everjobs.com.kh/en/employer/desjoyaux-cambodia-co-ltd/n-a-2396.html
WING (CAMBODIA) LIMITED SPECIALISED BANK;Phnom Penh;https://media.everjobs.com.kh/storage//company/67/2367/image//wing-cambodia.jpg;Payment Support Officer;Accounting / Finance ;- Process/initiate payroll transactions in Perseus system<br/>- Maintain a high level of efficiency to ensure compliance with WING’s Payroll processes<br/>- Follow Service-level Agreement (SLA) in order to offer better service for internal and external clients<br/>- Manage Payroll liquidity and review Payroll reports<br/>- Specific dispute handling for corporate clients<br/>- Prepare monthly statement to payroll customer<br/>- Perform other tasks assigned by Payment Support Supervisor;- Bachelor Degree in accounting or equivalent<br/>- Sound knowledge of front/back office processes and procedures<br/>- Advanced computer skills (ie strong Excel knowledge)<br/>- Good organising and time management skills<br/>- Ability to work under pressure to meet strict deadlines<br/>- Ability to communicate in English;03 July 2016;;https://www.everjobs.com.kh/en/employer/wing-cambodia-limited-specialised-bank/payment-support-officer-1.html
Asia Insurance (Cambodia);Phnom Penh;https://media.everjobs.com.kh/storage//company/53/753/image//asia-insurance.jpg;Accounting Clerk;Accounting / Finance ;- Provide close supports to team work from low to middle level accounting duties assigned<br/>- Perform works relating to accounts payable, accounts receivable, and general work relative with accounting department;- Only Female and Cambodian National<br/>- Bachelor or diploma degree in Accounting and Finance<br/>- At least 1 years experience<br/>- Proficient in Microsoft Office application<br/>- Proficiency in speaking and writing English<br/>- Honest, sincere, trustworthy<br/>- Hard working able to work under pressure;01 July 2016;;https://www.everjobs.com.kh/en/employer/asia-insurance-cambodia/accounting-clerk-7.html
Techno Design & Construction Co., Ltd;Phnom Penh;https://media.everjobs.com.kh/storage//company/37/1237/image//tdc.jpg;Senior Stock Keeper;Accounting / Finance ;- Senior Stock Keeper;- Minimum experience of 2 years in Stock Keeper.<br/>- Honest, highly responsible and reliable<br/>- Good computer literacy (Internet and Email, Ms. Word, Excel).<br/>- Able to work independently or as a team<br/>- Good integrity, positive attitude, helpful, high commitment, competence and motivation.<br/>- Good writing and speaking in English<br/>- Able to work independently and as a team<br/>- Age 30 to 40 years old.;01 July 2016;Full time;https://www.everjobs.com.kh/en/employer/techno-design-construction-co-ltd/senior-stock-keeper.html
SCG Logistics Management (Cambodia) Co., Ltd;Phnom Penh;https://media.everjobs.com.kh/storage//company/40/2440/image//scglogisticsmanagement-cambodia-co.-ltd.gif;Operation Executive;Accounting / Finance ;- Study Logistics model<br/>- Survey Logistics cost in the market<br/>- Acquire new carriers and truck supply.<br/>- Monitor and control all operations at fields.<br/>- Follow up loading schedule and truck supplies<br/>- Truck supply arrangement for loading products as the schedule<br/>- Monitoring loading operation and transportation service to customer<br/>- Closely contact with customers and contractor for unloading operation<br/>- Collect delivery documents and send them to customers<br/>- Daily report transportation operation to customers and team<br/>- Goods Receive and Goods Issue<br/>- Stock Management;- Graduated Bachelor Degree .<br/>- Experience 1year<br/>- Computer Skill ( Word , Excel , Power point and Access .<br/>- Strong communication, interpersonal and problem solving skills<br/>- Good relationship management and customer oriented skills.<br/>- Good communication in English, Thai and practical terms in logistics business is an advantage.;01 July 2016;Full time;https://www.everjobs.com.kh/en/employer/scg-logistics-management-cambodia-co-ltd/operation-executive-14.html
Kookmin Bank Cambodia Plc;Phnom Penh;https://media.everjobs.com.kh/storage//company/80/2180/image//kb.png;Accountant;Accounting / Finance ;- Prepare daily cash record to NBC<br/>- Prepare daily cash expense<br/>- Set up and coordinate meeting<br/>- Meet and greet visitors<br/>- Coordinate and maintain general record such as office key etc.<br/>- Prepare and maintenance reserve report to NBC<br/>- Bank Reconciliation<br/>- Stationary control<br/>- Process the declaration of all taxes<br/>- Fixed asset tag<br/>- Prepare daily transaction slip<br/>- Cash reconciliation<br/>- Assist other administration work<br/>- Assist other duties related with treasury<br/>- Other task as assigned by management.;- Level : Junior<br/>- Year of Exp: N/A<br/>- Qualification: Bachelor degree<br/>- Field of study: Finance and banking, economic, business administration<br/>- Language: English, Level Good<br/>- Sex: Male<br/>- Bachelor’s degree in banking and finance, economics or business administration is required.<br/>- Good in speaking/reading/writing and fluent in English are necessarily required.<br/>- Computer literacy Ms. Word, Excel, and power point<br/>- Willing to work under pressure and over time.;01 July 2016;Full time;https://www.everjobs.com.kh/en/employer/kookmin-bank-cambodia-plc/accountant-581.html
Golden Rice (Cambodia);Phnom Penh;https://media.everjobs.com.kh/storage//company/11/611/image//golden-rice.jpg;Finance Assistants (2 Posts);Accounting / Finance ;- Go to collect money and manage daily payment<br/>- Go to bank for deposit cash, check, and others requirement<br/>- Manage all accounting documents<br/>- Contact with clients and suppliers on related work<br/>- Assist HR/Administration tasks<br/>- Other assigned jobs as required by Finance officer;- Year 3 or year 4 students in Finance and Accounting or related files<br/>- Good command of English and communicating skills<br/>- Willing to learn new things and open mind<br/>- Can work as a team and have high responsibility<br/>- Good personal relation, self-motivated, honest, self-discipline, team work and commitment<br/>- Computer literacy in MS. Word, Advance Excel, Internet and E-mail;01 July 2016;Full time;https://www.everjobs.com.kh/en/employer/golden-rice-cambodia/finance-assistants-2-posts.html
National Sport Lottery;Phnom Penh;https://media.everjobs.com.kh/storage//company/10/610/image//nls.jpg;招聘职位：会计 Position: Accountant;Accounting / Finance ;- 负责彩票销售资金的对账、日清日结；<br/>- Responsible for the account reconciliation for lottery sales fund, daily clearing,<br/>- 负责奖金支付管理；<br/>- Responsible for bonus payment management,<br/>- 负责各区域中心财务统筹管理；<br/>- Responsible for each regional center of whole financial management,<br/>- 负责公司财务预算和执行；<br/>- Responsible for the company's financial budget and implementing,<br/>- 负责公司日常财务管理；<br/>- Responsible for daily financial management,<br/>- 负责向国家财经部、奥体委、税务局税费（含公益金）的结算与缴纳；<br/>- Responsible for settlement and pay the payment to the Ministry of Finance and Economic, National Olympic Committee Of Cambodia(NOCC), pay taxes to Ministry of taxation (including the Public welfare fund),<br/>- 负责配合政府审计机关对公司的审计工作。<br/>- Responsible for cooperate with government audit institutions audit company’s work.<br/>- 负责费用的审核工作<br/>- Responsible for verification of expense<br/>- 负责起草财务流水账及报告<br/>- Responsible for drafting financial statement;- 本科及以上相关的财务学历<br/>- Bachelor Degree in Business Administration/ Finance/ Accounting or relevant field.<br/>- 具有1年以上的会计经验<br/>- At least have 1 year experience with whole set of accounting.<br/>- 熟悉会计知识<br/>- Familiar with accounting knowledge<br/>- 熟悉预算管理<br/>- Familiar with the budget management<br/>- 具备处理资金管理的能力<br/>- Have the ability to deal with fund management<br/>- 有良好的沟通解释能力；<br/>- Have good communication and explanation ability,<br/>- 精通电脑功能如Microsoft word, Excel, Quick book or Peach Tree.<br/>- Knowledge of Microsoft word, Excel, Quick book or Peach Tree.<br/>- 精通中、英、柬<br/>- Proficient in Chinese, English and Khmer;01 July 2016;Full time;https://www.everjobs.com.kh/en/employer/national-sport-lottery/position-accountant.html
National Sport Lottery;Phnom Penh;https://media.everjobs.com.kh/storage//company/10/610/image//nls.jpg;Finance Manager;Accounting / Finance ;- Responsible for the account reconciliation for lottery sales fund, daily clearing,<br/>- Responsible for bonus payment management,<br/>- Responsible for each regional center of whole financial management,<br/>- Responsible for the company's financial budget and implementing,<br/>- Responsible for daily financial management,<br/>- Responsible for settlement and pay the payment to the Ministry of Finance and Economic, National Olympic Committee Of Cambodia(NOCC), pay taxes to Ministry of taxation (including the Public welfare fund),<br/>- Responsible for cooperate with government audit institutions audit company’s work.<br/>- Responsible for verification of expense<br/>- Responsible for drafting Financial statement;- Bachelor Degree in Business Administration/ Finance/ Accounting or relevant field.<br/>- Bachelor Degree in Business Administration/ Finance/ Accounting or relevant field.<br/>- At least have 1 year experience with whole set of accounting.<br/>- Familiar with the budget management.<br/>- Have the ability to deal with fund management.<br/>- Have good communication and explanation ability.<br/>- Knowledge of Microsoft word, Excel, Quick book or Peach Tree.<br/>- Good command of written and spoken English, (Chinese is advantage).;01 July 2016;Full time;https://www.everjobs.com.kh/en/employer/national-sport-lottery/finance-manager-63.html
Raytecs Cambodia Co., Ltd;Phnom Penh;https://media.everjobs.com.kh/storage//company/95/3095/image//raytech.jpg;Financial Accountant (3 to 7 years experience);Accounting / Finance ;- Report to: Etienne de Laat<br/>- Bookkeeping of all non-production entities of the Pactics Group, on-time and accurate,<br/>- Reporting Monthly & Quarterly before the 15th of each month for these entities (Balance Sheet, Profit and Loss- and Cash Flow Statements, including Accounts Payable-, Accounts Receivable and Inventory aging reports),<br/>- Reporting combined / consolidated figures for the Group before the 20th of each month (Balance Sheet, Profit and Loss- and Cash Flow Statements, including Accounts Payable-, Accounts Receivable and Inventory aging reports),<br/>- Revise and maintain the Pactics Group Accounting Manual and assist and inform other finance departments of group entities with and on Group Finance Policies,<br/>- Revise and maintain the ERP Financial Module for the Non-production entities in the Pactics Group,<br/>- Assist the Group Controller and other management team members with setting up Pactics Group Budgets and implementing these into the monthly reports.;* Job Competencies:<br/>- Ability to communicate and cooperation with all organizational levels<br/>- High level of creativity and adaptability<br/>- Able to work well under pressure and meet deadlines<br/>- Ability to gather appropriate input and make clear, well-reasoned decisions<br/><br/>* Skills:<br/>- Excellent English and Khmer (write, listen and speak)<br/>- Good understanding of Financial Accounting and Financial Analysis<br/>- Experience with ERP knowledge of INFOR SyteLine will be a plus<br/>- Expert user level experience with Microsoft Excel<br/>- Good understanding of Information Systems<br/>- Feeling for numbers - can quickly pick out obvious mistakes in quantities and timings<br/>- Excellent decision-making and follow-through skills<br/>- Results oriented with strong process and execution skills<br/>- Strong drawing and visual presentation skill<br/><br/>* Salary: $800 to $1200;01 July 2016;Full time;https://www.everjobs.com.kh/en/employer/raytecs-cambodia-co-ltd/financial-accountant-3-to-7-years-experience.html
KREPO Micro Finance;Phnom Penh;https://media.everjobs.com.kh/storage//company/76/1076/image//r.jpg;មន្រ្តីឥណទាន (Phnom Penh);Accounting / Finance ;- រៀបចំផែនការផ្តល់ និងប្រមូលឥណទាន<br/>- ជ្រើសរើសភូមិ ឬឃុំ/សង្កាត់ ដើម្បីទំនាក់ទំនងជាមួយអាជ្ញាធរដែនដី ស្នើសុំការសហការ និងសុំធ្វើប្រតិបត្តិការឥណទាន។<br/>- ពិនិត្យវាយតម្លៃសំណើ និងផ្តល់ឥណទានដល់អតិថិជនព្រមទាំងប្រមូលប្រាក់សងពីអតិថិជន នៅតាមភូមិនីមួយៗ នៅក្នុងតំបន់ប្រតិបត្តិការរបស់ខ្លួន ។<br/>- បង្វិលសាច់ប្រាក់ពីអតិថិជនទៅឲ្យ Cashier ពីCashier ឲ្យទៅអតិថិជន និងបំពេញឯកសារគណនេយ្យឲ្យបានត្រឹមត្រូវនៅក្នុងសាខា ។<br/>- តាមដានការប្រើប្រាស់ទុនរបស់អតិថិជននិងដោះស្រាយបញ្ហានានា។;- ជានិស្សិតកំពុងសិក្សាឆ្នាំទី២ ឡើងទៅ<br/>- មានចំណេះដឹងល្អបង្គួរលើការទំនាក់ទំនង ទីផ្សារការលក់ សេវាកម្មអតិថិជន និងការផ្តល់ ឥណទាន<br/>- ជាមនុស្សមាន ភាពស្មោះត្រង់ ម៉ឺងម៉ាត់ សុភាពរាបសារ និងមានទំនួលខុសត្រូវខ្ពស់។;01 July 2016;Full time;https://www.everjobs.com.kh/en/employer/krepo-micro-finance/phnom-penh-24.html
KREPO Micro Finance;Kandal;https://media.everjobs.com.kh/storage//company/76/1076/image//r.jpg;មន្រ្តីឥណទាន (Kandal);Accounting / Finance ;- រៀបចំផែនការផ្តល់ និងប្រមូលឥណទាន<br/>- ជ្រើសរើសភូមិ ឬឃុំ/សង្កាត់ ដើម្បីទំនាក់ទំនងជាមួយអាជ្ញាធរដែនដី ស្នើសុំការសហការ និងសុំធ្វើប្រតិបត្តិការឥណទាន។<br/>- ពិនិត្យវាយតម្លៃសំណើ និងផ្តល់ឥណទានដល់អតិថិជនព្រមទាំងប្រមូលប្រាក់សងពីអតិថិជន នៅតាមភូមិនីមួយៗ នៅក្នុងតំបន់ប្រតិបត្តិការរបស់ខ្លួន ។<br/>- បង្វិលសាច់ប្រាក់ពីអតិថិជនទៅឲ្យ Cashier ពីCashier ឲ្យទៅអតិថិជន និងបំពេញឯកសារគណនេយ្យឲ្យបានត្រឹមត្រូវនៅក្នុងសាខា ។<br/>- តាមដានការប្រើប្រាស់ទុនរបស់អតិថិជននិងដោះស្រាយបញ្ហានានា។;- ជានិស្សិតកំពុងសិក្សាឆ្នាំទី២ ឡើងទៅ<br/>- មានចំណេះដឹងល្អបង្គួរលើការទំនាក់ទំនង ទីផ្សារការលក់ សេវាកម្មអតិថិជន និងការផ្តល់ ឥណទាន<br/>- ជាមនុស្សមាន ភាពស្មោះត្រង់ ម៉ឺងម៉ាត់ សុភាពរាបសារ និងមានទំនួលខុសត្រូវខ្ពស់។;01 July 2016;Full time;https://www.everjobs.com.kh/en/employer/krepo-micro-finance/kandal-56.html
ANDET;Kampong Cham;https://media.everjobs.com.kh/storage//company/80/2580/image//andet.gif;មន្រ្តីឥណទាន (កំពង់ចាម);Accounting / Finance ;- ចូលរួមបង្កើត និងកំណត់អោយបានច្បាស់ពីបទដ្ឋានសវនករ គោលនយោបាយសវនករ និងឧបករណ៌សវនករ ជាមួយនាយកផ្នែកសវនកម្មផ្ទៃនឹងគ្រប់គ្រងហានិភ័យ និងថ្នាក់ដឹកនាំ។<br/>- ត្រួតពិនិត្យនឹងវាយតម្លៃឡើងវិញពីដំណើរការអនុវត្តបច្ចុប្បន្ន លើបទដ្ឋាន គោលនយោបាយ ច្បាប់ផ្ទៃក្នុង ពីដំណើការចេញឥណទាន ការសងត្រឡប់ ការបង់ផ្តាច់ និងការដកប្រាក់សន្សំ របស់អតិជន និងរាយការណ៏ជូនជូនទៅថ្នាក់ដឹកនាំដើម្បីធ្វើការកែលំអរឲ្យកាន់តែមានភាពប្រសើរឡើង និងមានប្រសិទ្ឋិភាពពីចំនុចអសកម្មទាំងឡាយណាដែលបានរកឃើញ ។<br/>- ត្រូវតែប្រាកដច្បាស់ថា ឥណទានដែលបានផ្តល់ជូនទៅអតិថិជនប្រកបដោយសុវត្ថិភាព និងគុណភាព និងរកអោយឃើញនូវឥណទានណាដែលមិនប្រក្រតី។<br/>- ជួយដល់ថ្នាក់ដឹកនាំជាន់ខ្ពស់ឲ្យកាន់តែមានភាពប្រសើឡើង លើការអនុវត្តពីគោលការណ៏ឥណទាន គោលការណ៏ប្រតិបត្តិការ និងពង្រឹងមន្ត្រីឥណទាន តាមរយះការរកឃើញពីការធ្វើសវកម្មផ្ទៃក្នុង និងសម្រេចទិសដៅរបស់ស្ថាប័ន ។<br/>- ចុះធ្វើសវនកម្មផ្ទៃក្នុងជាប្រចាំ លើមន្ត្រីឥណទាននិមួយៗនៅតាមតំបន់គោលដៅរបស់ពួកគេ ត្រូវប្រាកដថា រាល់ដំណើរការទុនឥណទានដែលបានចេញជូនទៅអតិថិជន ការបង់ត្រឡប់ ការបង់ផ្តាច់ ការទូទាត់ ការដកប្រាក់សន្សំ និងឯកសារផ្សេងៗ ត្រូវតែត្រឹបត្រូវតាមដំណើរការ បទដ្ឋានប្រតិបត្តិការ គោលនយោបាយ និងច្បាប់ផ្ទៃក្នុងរបស់ស្ថាប័ន។<br/>- ចុះធ្វើការប៉ាន់ប្រមាណពីហានិភ័យលើឥណទាន រួមមាន បញ្ជាក់បង្ហាញពីហានិភ័យឥណទាន ការវាស់វែងហានិភ័យ ចំណាត់ថ្នាក់ហានិភ័យ ក្នុងការបង្កើតឧបករណ៌ ការវាយតម្លៃលើឥណទាន ។<br/>- សវនករផ្ទៃក្នុងត្រូវទទួលខុសត្រូវ និងរកឲ្យឃើញការគេងបន្លំទាំងផ្នែកខាងក្នុង និងខាងក្រៅ។<br/>- ក្នុងការធ្វើសវនកម្មលើផ្នែកប្រតិបត្តិការគណនេយ្យ ប្រតិបតិ្តការសវនកម្ម និងការបញ្ចូលទៅក្នុងប្រព័ន្ឋ.<br/>- ធ្វើផែនការសវនកម្មប្រចាំឆ្នាំ ប្រចាំខែ និងផែនការបន្ទាន់ រួចដាក់បញ្ជូនទៅនាយកផ្នែកសវនកម្ម និងគ្រប់គ្រងហានិភ័យដើម្បីពិនិត្យ និងសម្រេច។<br/>- ធ្វើរបាយការណ៏បន្ទាន់ជូនថ្នាក់ដឹកនាំក្នុងករណីរកឃើញករណីមិនប្រក្រតីណាមួយរបស់ស្ថាប័ន<br/>- របាយការណ៏កែលំអរលើនិតិវិធី គោលនយោបាយ របាយការណ៏តាមដាននិងរបាយការណ៏ប្រចាំខែ<br/>- ជួយធ្វើការងារមួយចំនួនផេ្សងៗទៀតដែលតម្រូវការពីថ្នាក់ដឹកនាំជាន់ខ្ពស់។;- បរិញ្ញាប័ត្រផ្នែកគណនេយ្យ ហិរញវត្ថុ និងធនាគារ ឬមានតម្លៃស្មើ<br/>- មានបទពិសោធន៏ជាសវនករផ្ទៃក្នុង និងគ្រប់គ្រងហានិភ័យកន្លងមក ឬ ជាមន្ត្រីឥណទានយ៉ាងតិច២ឆ្នាំ។<br/>- មានជំនាញគណនេយ្យ ហិរញវត្ថុ និងធនាគារកាន់តែប្រសើរ<br/>- មានទំនាក់ទំនង និងសីសធម៏ល្អ<br/>- ធ្វើការដោយឯករាជ្យ ច្បាស់លាស់ អនុវត្តតាមគោលការណ៏ណែនាំរបស់ស្ថាប័ន<br/>- មានចំណាប់អារមណ៏ធ្វើការនៅទីវាល និងចេះប្រឈមមុខនឹងការងារដែលមានហានិភ័យខ្ពស់<br/>- មានជំនាញប្រើកុំព្យូទ័របាន រួមមាន Ms.Office, internet, and email<br/>- ចេះអាន និងសររសរភាសាអង់គ្លេសបានល្អ<br/>- មានឆន្ទៈខ្ពស់ក្នងបំពញការងារក្រៅម៉ោង និងទាន់ពេលវេលា;01 July 2016;;https://www.everjobs.com.kh/en/employer/andet/n-a-2483.html
